PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;16;8;28079016_8_8;2018;12;29;00031;V;00048;V;00039;V;00031;V;00020;V;00019;V;00021;V;00026;V;00034;V;00033;V;00029;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2018;12;29;00036;V;00054;V;00044;V;00036;V;00022;V;00021;V;00022;V;00030;V;00039;V;00044;V;00047;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2018;12;29;29.33;V;12.75;V;15.53;V;21.65;V;29.93;V;28.77;V;25.87;V;20.04;V;15.29;V;18.38;V;19.82;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2018;12;29;00015;V;00011;V;00010;V;00009;V;00008;V;00008;V;00009;V;00012;V;00013;V;00011;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2018;12;29;00134;V;00050;V;00044;V;00011;V;00007;V;00010;V;00033;V;00105;V;00127;V;00101;V;00059;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2018;12;29;00071;V;00061;V;00052;V;00042;V;00035;V;00036;V;00042;V;00055;V;00062;V;00055;V;00049;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2018;12;29;00276;V;00138;V;00120;V;00060;V;00045;V;00052;V;00093;V;00216;V;00258;V;00210;V;00140;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2018;12;29;07.03;V;06.98;V;06.81;V;07.58;V;09.40;V;08.63;V;07.43;V;07.02;V;06.77;V;07.72;V;12.34;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2018;12;29;00014;V;00014;V;00013;V;00012;V;00011;V;00011;V;00012;V;00012;V;00012;V;00013;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2018;12;29;000.8;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;000.7;V;000.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2018;12;29;00052;V;00035;V;00024;V;00011;V;00004;V;00012;V;00027;V;00037;V;00045;V;00071;V;00042;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
